Country,League,Season,Date,Time,Home,Away,HG,AG,Res,Number
USA,MLS,2019,2/5/2019,0:30,Philadelphia Union,FC Cincinnati,2,0,H,107
USA,MLS,2019,4/5/2019,2:00,Colorado Rapids,Vancouver Whitecaps,2,3,A,108
USA,MLS,2019,4/5/2019,19:00,New York Red Bulls,Los Angeles Galaxy,3,2,H,109
USA,MLS,2019,4/5/2019,21:00,Houston Dynamo,FC Dallas,2,1,H,110
USA,MLS,2019,4/5/2019,21:00,Orlando City,Toronto FC,0,2,A,111
USA,MLS,2019,4/5/2019,22:00,Montreal Impact,New York City,0,2,A,112
USA,MLS,2019,5/5/2019,0:30,Philadelphia Union,New England Revolution,6,1,H,113
USA,MLS,2019,5/5/2019,1:00,DC United,Columbus Crew,3,1,H,114
USA,MLS,2019,5/5/2019,1:00,Minnesota United,Seattle Sounders,1,1,D,115
USA,MLS,2019,5/5/2019,2:00,Real Salt Lake,Portland Timbers,1,2,A,116
USA,MLS,2019,5/5/2019,3:00,San Jose Earthquakes,FC Cincinnati,1,0,H,117
USA,MLS,2019,5/5/2019,3:30,Los Angeles FC,Chicago Fire,0,0,D,118
USA,MLS,2019,6/5/2019,2:00,Sporting Kansas City,Atlanta United,0,3,A,119
USA,MLS,2019,9/5/2019,0:00,Atlanta United,Toronto FC,2,0,H,120
USA,MLS,2019,9/5/2019,0:30,Columbus Crew,Los Angeles Galaxy,3,1,H,121
USA,MLS,2019,9/5/2019,1:00,Chicago Fire,New England Revolution,5,0,H,122
USA,MLS,2019,9/5/2019,1:00,New York Red Bulls,Montreal Impact,1,2,A,123
USA,MLS,2019,11/5/2019,3:10,Vancouver Whitecaps,Portland Timbers,1,0,H,124
USA,MLS,2019,11/5/2019,18:00,FC Cincinnati,Montreal Impact,2,1,H,125
USA,MLS,2019,11/5/2019,19:00,FC Dallas,New York Red Bulls,1,3,A,126
USA,MLS,2019,11/5/2019,20:00,Toronto FC,Philadelphia Union,1,2,A,127
USA,MLS,2019,11/5/2019,21:00,Los Angeles Galaxy,New York City,0,2,A,128
USA,MLS,2019,12/5/2019,0:30,Columbus Crew,Los Angeles FC,0,3,A,129
USA,MLS,2019,12/5/2019,0:30,New England Revolution,San Jose Earthquakes,3,1,H,130
USA,MLS,2019,12/5/2019,1:00,Chicago Fire,Minnesota United,2,0,H,131
USA,MLS,2019,12/5/2019,2:00,Colorado Rapids,Real Salt Lake,2,3,A,132
USA,MLS,2019,12/5/2019,3:00,Seattle Sounders,Houston Dynamo,1,0,H,133
USA,MLS,2019,12/5/2019,19:30,Atlanta United,Orlando City,1,0,H,134
USA,MLS,2019,13/05/2019,0:00,DC United,Sporting Kansas City,1,0,H,135
USA,MLS,2019,16/05/2019,1:00,Toronto FC,DC United,0,0,D,136
USA,MLS,2019,16/05/2019,1:30,Houston Dynamo,Portland Timbers,1,1,D,137
USA,MLS,2019,16/05/2019,3:00,Vancouver Whitecaps,Atlanta United,0,1,A,138
USA,MLS,2019,16/05/2019,3:30,Seattle Sounders,Orlando City,2,1,H,139
USA,MLS,2019,17/05/2019,3:00,Los Angeles FC,FC Dallas,2,0,H,140
USA,MLS,2019,18/05/2019,18:00,Montreal Impact,New England Revolution,0,0,D,141
USA,MLS,2019,18/05/2019,20:00,Real Salt Lake,Toronto FC,3,0,H,142
USA,MLS,2019,18/05/2019,20:30,San Jose Earthquakes,Chicago Fire,4,1,H,143
USA,MLS,2019,19/05/2019,0:30,Philadelphia Union,Seattle Sounders,0,0,D,144
USA,MLS,2019,19/05/2019,1:00,Minnesota United,Columbus Crew,1,0,H,145
USA,MLS,2019,19/05/2019,1:30,Houston Dynamo,DC United,2,1,H,146
USA,MLS,2019,19/05/2019,1:30,Sporting Kansas City,Vancouver Whitecaps,1,1,D,147
USA,MLS,2019,19/05/2019,20:00,Orlando City,FC Cincinnati,5,1,H,148
USA,MLS,2019,19/05/2019,22:00,New York Red Bulls,Atlanta United,1,0,H,149
USA,MLS,2019,20/05/2019,0:30,FC Dallas,Los Angeles FC,1,1,D,150
USA,MLS,2019,20/05/2019,1:00,Los Angeles Galaxy,Colorado Rapids,0,1,A,151
USA,MLS,2019,23/05/2019,1:00,New York Red Bulls,Vancouver Whitecaps,2,2,D,152
USA,MLS,2019,25/05/2019,0:00,Orlando City,Los Angeles Galaxy,0,1,A,153
USA,MLS,2019,25/05/2019,2:00,Real Salt Lake,Atlanta United,2,1,H,154
USA,MLS,2019,25/05/2019,3:30,Los Angeles FC,Montreal Impact,4,2,H,155
USA,MLS,2019,25/05/2019,20:30,Chicago Fire,New York City,1,1,D,156
USA,MLS,2019,26/05/2019,0:00,Vancouver Whitecaps,FC Dallas,2,1,H,157
USA,MLS,2019,26/05/2019,0:30,FC Cincinnati,New York Red Bulls,0,2,A,158
USA,MLS,2019,26/05/2019,0:30,New England Revolution,DC United,1,1,D,159
USA,MLS,2019,26/05/2019,0:30,Philadelphia Union,Portland Timbers,1,3,A,160
USA,MLS,2019,26/05/2019,1:00,Minnesota United,Houston Dynamo,1,0,H,161
USA,MLS,2019,26/05/2019,2:00,Colorado Rapids,Columbus Crew,3,2,H,162
USA,MLS,2019,26/05/2019,23:00,Sporting Kansas City,Seattle Sounders,3,2,H,163
USA,MLS,2019,27/05/2019,0:30,Toronto FC,San Jose Earthquakes,1,2,A,164
USA,MLS,2019,30/05/2019,0:00,Atlanta United,Minnesota United,3,0,H,165
USA,MLS,2019,30/05/2019,0:30,Montreal Impact,Real Salt Lake,2,1,H,166
USA,MLS,2019,30/05/2019,1:00,DC United,Chicago Fire,3,3,D,167
USA,MLS,2019,30/05/2019,1:30,Philadelphia Union,Colorado Rapids,1,1,D,168
USA,MLS,2019,30/05/2019,1:30,Sporting Kansas City,Los Angeles Galaxy,0,2,A,169
USA,MLS,2019,1/6/2019,3:00,Vancouver Whitecaps,Toronto FC,1,1,D,170
USA,MLS,2019,1/6/2019,22:00,Montreal Impact,Orlando City,0,3,A,171
USA,MLS,2019,1/6/2019,23:00,Atlanta United,Chicago Fire,2,0,H,172
USA,MLS,2019,2/6/2019,0:00,New York Red Bulls,Real Salt Lake,4,0,H,173
USA,MLS,2019,2/6/2019,0:30,Columbus Crew,New York City,2,2,D,174
USA,MLS,2019,2/6/2019,1:00,DC United,San Jose Earthquakes,1,1,D,175
USA,MLS,2019,2/6/2019,1:00,FC Dallas,Seattle Sounders,2,1,H,176
